# This file was produced by: bcftools roh(1.21+htslib-1.21)
# The command line was:	bcftools roh -G 30 --rec-rate 6.5788e-6 --skip-indels --AF-file /work/sonsthagen/johruska/monarchs/sequence_data/data/06_roh_6x_downsampled_final_no_transitions/AF.tab.gz -O r -o /work/sonsthagen/johruska/monarchs/sequence_data/data/06_roh_6x_downsampled_final_no_transitions/6x_downsampled_roh_no_trans.txt /work/sonsthagen/johruska/monarchs/sequence_data/data/06_roh_6x_downsampled_final_no_transitions/6x_downsampled_no_transitions_roh_af_tag.vcf
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	Danaus_plexippus_CA_2024_02	NC_083543.1	7821974	7832308	10335	308	54.5
RG	Danaus_plexippus_CA_2024_02	NC_083543.1	7853765	7881717	27953	844	76.4
RG	Danaus_plexippus_CA_2024_02	NC_083543.1	8610868	8619686	8819	284	15.7
RG	Danaus_plexippus_CA_2024_02	NC_083543.1	8650531	8661491	10961	339	33.5
RG	Danaus_plexippus_CA_2024_03	NC_083543.1	765	30560	29796	834	74.7
RG	Danaus_plexippus_CA_2024_03	NC_083543.1	1403860	1412223	8364	235	40.6
RG	Danaus_plexippus_ID_1997_01	NC_083543.1	9379712	9407564	27853	613	69.6
RG	Danaus_plexippus_ID_1997_02	NC_083543.1	8843561	8856820	13260	421	44.1
RG	Danaus_plexippus_KS_2023_01	NC_083543.1	7237922	7243840	5919	201	7.4
RG	Danaus_plexippus_KS_2023_01	NC_083543.1	8984495	9000194	15700	426	68.3
RG	Danaus_plexippus_KS_2023_02	NC_083543.1	8418567	8430531	11965	373	45.4
RG	Danaus_plexippus_KS_2023_07	NC_083543.1	9035053	9038497	3445	169	16.7
RG	Danaus_plexippus_KS_2023_08	NC_083543.1	2803663	2816849	13187	338	14.3
RG	Danaus_plexippus_KS_2023_08	NC_083543.1	4176925	4220627	43703	1208	72.7
RG	Danaus_plexippus_KS_2023_08	NC_083543.1	6459111	6477460	18350	575	75.5
RG	Danaus_plexippus_KS_2023_08	NC_083543.1	6480798	6491617	10820	430	80.2
RG	Danaus_plexippus_KS_2023_10	NC_083543.1	128460	193845	65386	1698	89.9
RG	Danaus_plexippus_KS_2023_15	NC_083543.1	8292940	8305493	12554	323	18.1
RG	Danaus_plexippus_KS_2023_15	NC_083543.1	8355820	8371434	15615	583	82.3
RG	Danaus_plexippus_KS_2023_15	NC_083543.1	8412533	8431168	18636	557	45.9
RG	Danaus_plexippus_KS_2023_15	NC_083543.1	8465272	8471385	6114	200	11.7
RG	Danaus_plexippus_KS_2023_17	NC_083543.1	1163882	1169268	5387	227	10.6
RG	Danaus_plexippus_KS_2023_18	NC_083543.1	6702159	6707888	5730	224	8.0
RG	Danaus_plexippus_KS_2023_18	NC_083543.1	8745049	8750869	5821	215	17.5
RG	Danaus_plexippus_KS_2023_18	NC_083543.1	9184639	9197416	12778	470	32.4
RG	Danaus_plexippus_KS_2023_20	NC_083543.1	2576617	2585423	8807	237	63.6
RG	Danaus_plexippus_KS_2023_20	NC_083543.1	8852589	8862734	10146	354	36.1
RG	Danaus_plexippus_MI_1969_02	NC_083543.1	5358561	5364894	6334	252	11.3
RG	Danaus_plexippus_MI_1969_02	NC_083543.1	6715850	6728622	12773	330	68.5
RG	Danaus_plexippus_MI_1987_02	NC_083543.1	8834819	8843800	8982	263	14.3
RG	Danaus_plexippus_MI_1987_02	NC_083543.1	8969537	8978826	9290	217	9.5
RG	Danaus_plexippus_MI_1987_03	NC_083543.1	130436	139405	8970	349	19.0
RG	Danaus_plexippus_MI_1987_03	NC_083543.1	3239203	3269251	30049	978	91.0
RG	Danaus_plexippus_MI_1987_03	NC_083543.1	3367370	3376109	8740	412	75.5
RG	Danaus_plexippus_MI_2000_03	NC_083543.1	2704867	2712116	7250	270	17.3
RG	Danaus_plexippus_MI_2000_03	NC_083543.1	6390764	6395643	4880	198	27.7
RG	Danaus_plexippus_MI_2000_03	NC_083543.1	9386825	9426743	39919	748	83.9
RG	Danaus_plexippus_MI_2002_01	NC_083543.1	3113236	3117951	4716	171	12.0
RG	Danaus_plexippus_MI_2002_01	NC_083543.1	7839237	7847432	8196	281	28.0
RG	Danaus_plexippus_MI_2002_01	NC_083543.1	9241612	9251976	10365	353	35.9
RG	Danaus_plexippus_MN_1983_01	NC_083543.1	2021011	2027363	6353	226	37.0
RG	Danaus_plexippus_MN_1983_01	NC_083543.1	7891645	7899135	7491	205	7.9
RG	Danaus_plexippus_MN_1996_03	NC_083543.1	9266125	9272647	6523	227	9.6
RG	Danaus_plexippus_MN_1996_04	NC_083543.1	344	12989	12646	372	22.8
RG	Danaus_plexippus_MN_1996_04	NC_083543.1	9374003	9390686	16684	407	22.7
RG	Danaus_plexippus_NE_2024_02	NC_083543.1	7064084	7078807	14724	334	69.0
RG	Danaus_plexippus_NE_2024_03	NC_083543.1	4128184	4133408	5225	161	22.8
RG	Danaus_plexippus_NE_2024_03	NC_083543.1	7405028	7418267	13240	312	49.9
RG	Danaus_plexippus_NE_2024_03	NC_083543.1	8276499	8287036	10538	444	71.4
RG	Danaus_plexippus_NE_2024_04	NC_083543.1	8900261	8912580	12320	371	49.6
RG	Danaus_plexippus_NE_2024_05	NC_083543.1	8862932	8874444	11513	293	41.5
RG	Danaus_plexippus_NE_2024_07	NC_083543.1	9305501	9340523	35023	1115	71.4
RG	Danaus_plexippus_NE_2024_08	NC_083543.1	3446974	3470524	23551	818	77.7
RG	Danaus_plexippus_NE_2024_08	NC_083543.1	3534483	3547162	12680	424	81.9
RG	Danaus_plexippus_NE_2024_08	NC_083543.1	3553274	3602929	49656	1622	91.0
RG	Danaus_plexippus_NE_2024_08	NC_083543.1	7903145	7910300	7156	97	8.4
RG	Danaus_plexippus_NE_2024_11	NC_083543.1	5735123	5745537	10415	322	54.5
RG	Danaus_plexippus_NE_2024_12	NC_083543.1	4583662	4591447	7786	289	33.4
RG	Danaus_plexippus_NE_2024_13	NC_083543.1	738086	752710	14625	411	61.2
RG	Danaus_plexippus_NE_2024_13	NC_083543.1	1503726	1507360	3635	134	12.8
RG	Danaus_plexippus_NE_2024_13	NC_083543.1	4779634	4790262	10629	307	72.4
RG	Danaus_plexippus_NE_2024_16	NC_083543.1	9076472	9084586	8115	287	28.5
RG	Danaus_plexippus_CA_1956_04	NC_083544.1	9543935	9591007	47073	854	64.7
RG	Danaus_plexippus_CA_1973_02	NC_083544.1	2888508	2896429	7922	211	47.4
RG	Danaus_plexippus_CA_2023_04	NC_083544.1	226522	233845	7324	173	2.7
RG	Danaus_plexippus_CA_2023_06	NC_083544.1	6721091	6728493	7403	185	22.6
RG	Danaus_plexippus_CA_2023_06	NC_083544.1	9596496	9628277	31782	736	64.3
RG	Danaus_plexippus_CA_2023_07	NC_083544.1	214918	223538	8621	295	53.0
RG	Danaus_plexippus_CA_2023_07	NC_083544.1	3390997	3395962	4966	158	17.1
RG	Danaus_plexippus_CA_2024_01	NC_083544.1	268338	280022	11685	288	57.9
RG	Danaus_plexippus_CA_2024_03	NC_083544.1	4084104	4245342	161239	708	91.3
RG	Danaus_plexippus_ID_1997_01	NC_083544.1	2484851	2498881	14031	498	58.2
RG	Danaus_plexippus_ID_1997_01	NC_083544.1	4616727	4624750	8024	206	11.7
RG	Danaus_plexippus_KS_2023_07	NC_083544.1	2675469	2684061	8593	240	8.7
RG	Danaus_plexippus_KS_2023_07	NC_083544.1	4668127	4675003	6877	218	44.4
RG	Danaus_plexippus_KS_2023_08	NC_083544.1	2719462	2724054	4593	201	45.3
RG	Danaus_plexippus_KS_2023_08	NC_083544.1	3660410	3669602	9193	259	58.3
RG	Danaus_plexippus_KS_2023_11	NC_083544.1	4648920	4656570	7651	218	40.7
RG	Danaus_plexippus_KS_2023_13	NC_083544.1	143093	152769	9677	337	37.8
RG	Danaus_plexippus_KS_2023_15	NC_083544.1	423825	429223	5399	167	34.3
RG	Danaus_plexippus_KS_2023_15	NC_083544.1	4327150	4345318	18169	482	71.1
RG	Danaus_plexippus_KS_2023_16	NC_083544.1	4325472	4337020	11549	294	13.3
RG	Danaus_plexippus_KS_2023_17	NC_083544.1	142623	151058	8436	287	17.2
RG	Danaus_plexippus_KS_2023_17	NC_083544.1	3323670	3329226	5557	188	14.4
RG	Danaus_plexippus_KS_2023_17	NC_083544.1	3915361	3922992	7632	327	68.0
RG	Danaus_plexippus_KS_2023_19	NC_083544.1	886	18982	18097	578	75.3
RG	Danaus_plexippus_KS_2023_19	NC_083544.1	3659494	3672897	13404	380	55.2
RG	Danaus_plexippus_KS_2023_20	NC_083544.1	2552945	2598443	45499	1934	92.6
RG	Danaus_plexippus_MI_1969_02	NC_083544.1	436250	451064	14815	460	53.3
RG	Danaus_plexippus_MI_1987_02	NC_083544.1	66751	87962	21212	900	68.0
RG	Danaus_plexippus_MI_1987_02	NC_083544.1	7681826	7689511	7686	232	10.2
RG	Danaus_plexippus_MI_1987_03	NC_083544.1	6002728	6008736	6009	224	17.2
RG	Danaus_plexippus_MI_1987_03	NC_083544.1	6045734	6056379	10646	341	58.5
RG	Danaus_plexippus_MI_1987_03	NC_083544.1	6060653	6080597	19945	444	64.2
RG	Danaus_plexippus_MI_1997_06	NC_083544.1	94942	105779	10838	414	63.6
RG	Danaus_plexippus_MI_1997_06	NC_083544.1	6185729	6210513	24785	968	89.2
RG	Danaus_plexippus_MI_1997_06	NC_083544.1	8556126	8561869	5744	208	18.7
RG	Danaus_plexippus_MI_2000_02	NC_083544.1	3660281	3668022	7742	203	12.4
RG	Danaus_plexippus_MI_2000_03	NC_083544.1	130839	142499	11661	289	18.3
RG	Danaus_plexippus_MI_2000_03	NC_083544.1	384740	391499	6760	275	12.9
RG	Danaus_plexippus_MN_1983_01	NC_083544.1	281310	295143	13834	533	81.6
RG	Danaus_plexippus_MN_1983_01	NC_083544.1	1661533	1676522	14990	409	71.4
RG	Danaus_plexippus_MN_1996_04	NC_083544.1	5634299	5643330	9032	340	75.7
RG	Danaus_plexippus_MN_1996_04	NC_083544.1	8759600	8781905	22306	665	87.2
RG	Danaus_plexippus_NE_2024_02	NC_083544.1	2281725	2304246	22522	705	87.2
RG	Danaus_plexippus_NE_2024_02	NC_083544.1	2328400	2349982	21583	561	74.3
RG	Danaus_plexippus_NE_2024_02	NC_083544.1	7452738	7460239	7502	218	8.6
RG	Danaus_plexippus_NE_2024_03	NC_083544.1	333637	342131	8495	318	59.9
RG	Danaus_plexippus_NE_2024_04	NC_083544.1	2851245	3012245	161001	4713	97.5
RG	Danaus_plexippus_NE_2024_04	NC_083544.1	4733787	4746243	12457	238	37.8
RG	Danaus_plexippus_NE_2024_06	NC_083544.1	1780266	1785131	4866	163	15.6
RG	Danaus_plexippus_NE_2024_07	NC_083544.1	4654806	4675072	20267	496	70.5
RG	Danaus_plexippus_NE_2024_10	NC_083544.1	122181	138110	15930	632	65.7
RG	Danaus_plexippus_NE_2024_11	NC_083544.1	6880709	6889351	8643	318	16.9
RG	Danaus_plexippus_NE_2024_11	NC_083544.1	6907368	6937911	30544	562	67.6
RG	Danaus_plexippus_NE_2024_12	NC_083544.1	2548199	2570556	22358	640	80.6
RG	Danaus_plexippus_NE_2024_13	NC_083544.1	2818715	2851435	32721	808	83.4
RG	Danaus_plexippus_NE_2024_13	NC_083544.1	8331987	8345267	13281	373	69.3
RG	Danaus_plexippus_NE_2024_13	NC_083544.1	9592973	9610862	17890	420	56.0
RG	Danaus_plexippus_NE_2024_15	NC_083544.1	5641277	5648749	7473	274	35.4
RG	Danaus_plexippus_NE_2024_15	NC_083544.1	5660396	5680874	20479	492	80.5
RG	Danaus_plexippus_NE_2024_16	NC_083544.1	1603491	1629985	26495	602	81.6
RG	Danaus_plexippus_NE_2024_16	NC_083544.1	7963973	7967984	4012	212	47.2
RG	Danaus_plexippus_NE_2024_17	NC_083544.1	1048980	1058850	9871	222	9.4
RG	Danaus_plexippus_NE_2024_17	NC_083544.1	5207194	5229007	21814	229	12.8
RG	Danaus_plexippus_NE_2024_17	NC_083544.1	5273215	5284266	11052	291	21.3
RG	Danaus_plexippus_OR_1955_01	NC_083544.1	801519	807216	5698	172	15.2
RG	Danaus_plexippus_CA_1956_05	NC_083545.1	1196709	1210189	13481	202	27.1
RG	Danaus_plexippus_CA_1973_02	NC_083545.1	5662322	5681945	19624	752	84.2
RG	Danaus_plexippus_CA_2023_04	NC_083545.1	235122	269973	34852	1093	84.7
RG	Danaus_plexippus_CA_2023_06	NC_083545.1	7812934	7825017	12084	486	73.2
RG	Danaus_plexippus_CA_2023_07	NC_083545.1	2582348	2588632	6285	276	40.6
RG	Danaus_plexippus_CA_2023_07	NC_083545.1	7377238	7396638	19401	636	76.1
RG	Danaus_plexippus_ID_1997_01	NC_083545.1	5250399	5273218	22820	261	38.9
RG	Danaus_plexippus_ID_1997_01	NC_083545.1	5950118	5977902	27785	726	83.5
RG	Danaus_plexippus_KS_2023_01	NC_083545.1	14246	54879	40634	502	12.8
RG	Danaus_plexippus_KS_2023_01	NC_083545.1	3691449	3731368	39920	981	79.0
RG	Danaus_plexippus_KS_2023_01	NC_083545.1	7281853	7287717	5865	204	19.1
RG	Danaus_plexippus_KS_2023_01	NC_083545.1	7307977	7316681	8705	319	68.2
RG	Danaus_plexippus_KS_2023_06	NC_083545.1	5779720	5786791	7072	149	23.4
RG	Danaus_plexippus_KS_2023_07	NC_083545.1	4785811	4789389	3579	97	41.4
RG	Danaus_plexippus_KS_2023_07	NC_083545.1	7926859	7985865	59007	1451	93.1
RG	Danaus_plexippus_KS_2023_08	NC_083545.1	3025433	3031296	5864	233	47.8
RG	Danaus_plexippus_KS_2023_08	NC_083545.1	7249719	7256963	7245	232	43.8
RG	Danaus_plexippus_KS_2023_10	NC_083545.1	4661831	4668502	6672	225	42.8
RG	Danaus_plexippus_KS_2023_13	NC_083545.1	736892	762006	25115	778	88.6
RG	Danaus_plexippus_KS_2023_13	NC_083545.1	1482457	1488881	6425	178	7.1
RG	Danaus_plexippus_KS_2023_15	NC_083545.1	3331280	3337056	5777	178	21.3
RG	Danaus_plexippus_KS_2023_16	NC_083545.1	14979	43161	28183	300	13.0
RG	Danaus_plexippus_KS_2023_17	NC_083545.1	6795629	6807922	12294	318	30.1
RG	Danaus_plexippus_KS_2023_19	NC_083545.1	14316	61417	47102	565	70.8
RG	Danaus_plexippus_KS_2023_20	NC_083545.1	8087931	8125881	37951	1210	70.8
RG	Danaus_plexippus_MI_2000_01	NC_083545.1	2487775	2494175	6401	216	25.0
RG	Danaus_plexippus_MI_2000_02	NC_083545.1	1382998	1422746	39749	1074	68.6
RG	Danaus_plexippus_MI_2000_02	NC_083545.1	1450087	1481595	31509	997	83.8
RG	Danaus_plexippus_MI_2000_03	NC_083545.1	3693636	3722664	29029	674	71.4
RG	Danaus_plexippus_MI_2002_01	NC_083545.1	7986029	8035609	49581	1750	89.7
RG	Danaus_plexippus_NE_2024_05	NC_083545.1	4017382	4023357	5976	173	7.4
RG	Danaus_plexippus_NE_2024_07	NC_083545.1	154821	163008	8188	261	43.7
RG	Danaus_plexippus_NE_2024_08	NC_083545.1	749033	757920	8888	294	75.2
RG	Danaus_plexippus_NE_2024_11	NC_083545.1	3733254	3800699	67446	513	51.2
RG	Danaus_plexippus_NE_2024_11	NC_083545.1	4518695	4534275	15581	316	66.8
RG	Danaus_plexippus_NE_2024_13	NC_083545.1	1054712	1061794	7083	193	21.1
RG	Danaus_plexippus_NE_2024_17	NC_083545.1	224066	230508	6443	203	23.3
RG	Danaus_plexippus_OR_1955_01	NC_083545.1	8042108	8059787	17680	473	64.2
RG	Danaus_plexippus_CA_1956_04	NC_083546.1	3713188	3723185	9998	294	14.7
RG	Danaus_plexippus_CA_1956_04	NC_083546.1	6759927	6784174	24248	708	82.6
RG	Danaus_plexippus_CA_1971_01	NC_083546.1	8281146	8298902	17757	623	65.0
RG	Danaus_plexippus_CA_1973_02	NC_083546.1	2051285	2058607	7323	296	41.5
RG	Danaus_plexippus_CA_1973_02	NC_083546.1	2701772	2881134	179363	4929	97.3
RG	Danaus_plexippus_CA_2023_07	NC_083546.1	39367	102838	63472	693	59.5
RG	Danaus_plexippus_CA_2024_01	NC_083546.1	900527	910148	9622	287	51.6
RG	Danaus_plexippus_CA_2024_01	NC_083546.1	7044612	7050700	6089	188	21.5
RG	Danaus_plexippus_ID_1997_01	NC_083546.1	2896128	2916645	20518	694	52.3
RG	Danaus_plexippus_KS_2023_02	NC_083546.1	4539145	4550890	11746	335	81.7
RG	Danaus_plexippus_KS_2023_06	NC_083546.1	3548776	3554266	5491	173	7.7
RG	Danaus_plexippus_KS_2023_07	NC_083546.1	3832830	3839113	6284	180	13.1
RG	Danaus_plexippus_KS_2023_07	NC_083546.1	3848848	3875396	26549	663	74.4
RG	Danaus_plexippus_KS_2023_13	NC_083546.1	1413632	1418673	5042	179	52.8
RG	Danaus_plexippus_KS_2023_15	NC_083546.1	22965	93483	70519	768	88.6
RG	Danaus_plexippus_KS_2023_16	NC_083546.1	323	52453	52131	607	71.7
RG	Danaus_plexippus_KS_2023_16	NC_083546.1	4284795	4292253	7459	232	19.5
RG	Danaus_plexippus_KS_2023_17	NC_083546.1	3271929	3281828	9900	333	25.7
RG	Danaus_plexippus_MI_1969_02	NC_083546.1	2899479	2902077	2599	120	21.1
RG	Danaus_plexippus_MI_1969_02	NC_083546.1	5742905	5752325	9421	275	8.7
RG	Danaus_plexippus_MI_1987_02	NC_083546.1	4024523	4037885	13363	343	62.1
RG	Danaus_plexippus_MI_1987_03	NC_083546.1	757435	769663	12229	373	75.2
RG	Danaus_plexippus_MI_2000_01	NC_083546.1	1342581	1351307	8727	265	49.5
RG	Danaus_plexippus_MI_2000_02	NC_083546.1	3572473	3585211	12739	373	61.1
RG	Danaus_plexippus_MI_2000_03	NC_083546.1	5083226	5117921	34696	1147	91.1
RG	Danaus_plexippus_MI_2000_03	NC_083546.1	5248014	5261282	13269	379	45.1
RG	Danaus_plexippus_MN_1983_01	NC_083546.1	8343990	8364081	20092	462	62.6
RG	Danaus_plexippus_MN_1996_03	NC_083546.1	6182655	6186715	4061	140	10.4
RG	Danaus_plexippus_MN_1996_04	NC_083546.1	3001751	3008571	6821	266	9.7
RG	Danaus_plexippus_NE_2024_02	NC_083546.1	7038726	7045658	6933	147	2.4
RG	Danaus_plexippus_NE_2024_02	NC_083546.1	7053098	7059509	6412	151	10.7
RG	Danaus_plexippus_NE_2024_03	NC_083546.1	4662355	4695243	32889	710	80.3
RG	Danaus_plexippus_NE_2024_04	NC_083546.1	1708803	1729891	21089	398	36.3
RG	Danaus_plexippus_NE_2024_04	NC_083546.1	2355447	2368657	13211	430	66.0
RG	Danaus_plexippus_NE_2024_06	NC_083546.1	952037	956873	4837	231	16.8
RG	Danaus_plexippus_NE_2024_06	NC_083546.1	3457323	3465424	8102	195	18.7
RG	Danaus_plexippus_NE_2024_07	NC_083546.1	4107564	4115209	7646	263	50.8
RG	Danaus_plexippus_NE_2024_07	NC_083546.1	4919085	4935132	16048	425	65.1
RG	Danaus_plexippus_NE_2024_08	NC_083546.1	3383971	3395208	11238	442	16.0
RG	Danaus_plexippus_NE_2024_08	NC_083546.1	5097266	5104054	6789	245	22.1
RG	Danaus_plexippus_NE_2024_08	NC_083546.1	7825247	7853064	27818	706	88.8
RG	Danaus_plexippus_NE_2024_08	NC_083546.1	8113729	8126377	12649	351	75.8
RG	Danaus_plexippus_NE_2024_10	NC_083546.1	2768104	2775174	7071	210	29.6
RG	Danaus_plexippus_NE_2024_11	NC_083546.1	3468674	3474715	6042	232	28.7
RG	Danaus_plexippus_NE_2024_14	NC_083546.1	5699841	5706665	6825	203	5.7
RG	Danaus_plexippus_NE_2024_14	NC_083546.1	8340767	8363635	22869	629	33.7
RG	Danaus_plexippus_NE_2024_15	NC_083546.1	4131831	4147445	15615	404	80.0
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	3013753	3033573	19821	314	37.8
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	3039688	3065136	25449	407	79.0
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	4017091	4051261	34171	795	88.9
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	4067652	4097756	30105	878	86.4
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	4146787	4190621	43835	1033	87.3
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	5144339	5152696	8358	197	15.4
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	5446116	5468194	22079	616	76.3
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	5483255	5514034	30780	807	83.6
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	5516315	5555060	38746	1104	88.6
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	5605856	5625863	20008	568	85.2
RG	Danaus_plexippus_NE_2024_16	NC_083546.1	5795721	5808393	12673	379	79.6
RG	Danaus_plexippus_NE_2024_17	NC_083546.1	6088029	6106394	18366	500	60.9
RG	Danaus_plexippus_OR_1955_01	NC_083546.1	125001	142062	17062	450	70.6
RG	Danaus_plexippus_CA_1956_04	NC_083547.1	1749210	1760928	11719	485	66.7
RG	Danaus_plexippus_CA_1956_05	NC_083547.1	438673	446522	7850	181	26.0
RG	Danaus_plexippus_CA_2023_06	NC_083547.1	229518	240240	10723	269	72.7
RG	Danaus_plexippus_CA_2023_06	NC_083547.1	7247541	7281213	33673	870	90.1
RG	Danaus_plexippus_CA_2023_07	NC_083547.1	8363986	8380975	16990	412	82.7
RG	Danaus_plexippus_CA_2024_01	NC_083547.1	4842615	4860649	18035	505	71.2
RG	Danaus_plexippus_CA_2024_03	NC_083547.1	6493948	6511247	17300	301	35.0
RG	Danaus_plexippus_CA_2024_03	NC_083547.1	6601038	6611459	10422	292	11.3
RG	Danaus_plexippus_ID_1997_01	NC_083547.1	225661	251507	25847	659	58.2
RG	Danaus_plexippus_KS_2023_01	NC_083547.1	467238	475428	8191	224	23.4
RG	Danaus_plexippus_KS_2023_02	NC_083547.1	6888003	7282654	394652	15599	97.8
RG	Danaus_plexippus_KS_2023_05	NC_083547.1	1553366	1571273	17908	537	68.8
RG	Danaus_plexippus_KS_2023_05	NC_083547.1	1586644	1617605	30962	494	76.5
RG	Danaus_plexippus_KS_2023_05	NC_083547.1	1645518	1655392	9875	330	4.3
RG	Danaus_plexippus_KS_2023_05	NC_083547.1	5347370	5365861	18492	595	86.5
RG	Danaus_plexippus_KS_2023_08	NC_083547.1	9559522	9571087	11566	310	65.2
RG	Danaus_plexippus_KS_2023_10	NC_083547.1	7122375	7133553	11179	234	49.9
RG	Danaus_plexippus_KS_2023_10	NC_083547.1	7144370	7176830	32461	958	88.6
RG	Danaus_plexippus_KS_2023_10	NC_083547.1	7214921	7235641	20721	553	83.9
RG	Danaus_plexippus_KS_2023_10	NC_083547.1	7365194	7378735	13542	384	75.6
RG	Danaus_plexippus_KS_2023_10	NC_083547.1	9508087	9524967	16881	417	74.8
RG	Danaus_plexippus_KS_2023_11	NC_083547.1	7116402	7221630	105229	4432	94.3
RG	Danaus_plexippus_KS_2023_15	NC_083547.1	1846849	1864428	17580	579	77.5
RG	Danaus_plexippus_KS_2023_15	NC_083547.1	4507217	4515025	7809	318	31.7
RG	Danaus_plexippus_KS_2023_15	NC_083547.1	8449746	8456573	6828	205	23.1
RG	Danaus_plexippus_KS_2023_15	NC_083547.1	8725518	8733628	8111	247	10.7
RG	Danaus_plexippus_KS_2023_15	NC_083547.1	8757031	8792720	35690	504	71.7
RG	Danaus_plexippus_KS_2023_15	NC_083547.1	8801717	8809802	8086	279	24.0
RG	Danaus_plexippus_KS_2023_15	NC_083547.1	8814711	8838998	24288	745	87.0
RG	Danaus_plexippus_KS_2023_16	NC_083547.1	26223	41453	15231	321	50.6
RG	Danaus_plexippus_KS_2023_16	NC_083547.1	290733	298093	7361	151	45.0
RG	Danaus_plexippus_KS_2023_16	NC_083547.1	5227121	5234808	7688	188	29.3
RG	Danaus_plexippus_KS_2023_16	NC_083547.1	7316763	7327952	11190	315	79.6
RG	Danaus_plexippus_KS_2023_17	NC_083547.1	6502131	6510487	8357	199	37.5
RG	Danaus_plexippus_KS_2023_17	NC_083547.1	6649682	6664756	15075	452	57.6
RG	Danaus_plexippus_KS_2023_18	NC_083547.1	9553732	9622505	68774	1481	87.4
RG	Danaus_plexippus_KS_2023_19	NC_083547.1	1749824	1758819	8996	471	65.5
RG	Danaus_plexippus_KS_2023_19	NC_083547.1	3028850	3037164	8315	216	45.2
RG	Danaus_plexippus_KS_2023_19	NC_083547.1	7626753	7634409	7657	213	27.3
RG	Danaus_plexippus_KS_2023_19	NC_083547.1	7673914	7695066	21153	568	80.0
RG	Danaus_plexippus_KS_2023_20	NC_083547.1	206057	228602	22546	681	50.5
RG	Danaus_plexippus_KS_2023_20	NC_083547.1	262170	275818	13649	313	72.4
RG	Danaus_plexippus_MI_1969_02	NC_083547.1	2288653	2295642	6990	284	67.2
RG	Danaus_plexippus_MI_1997_01	NC_083547.1	1322345	1330407	8063	326	32.8
RG	Danaus_plexippus_MI_1997_06	NC_083547.1	1191569	1198001	6433	219	21.7
RG	Danaus_plexippus_MI_1997_06	NC_083547.1	4636157	4651685	15529	417	60.9
RG	Danaus_plexippus_MI_1997_06	NC_083547.1	4658824	4668394	9571	414	79.6
RG	Danaus_plexippus_MI_2000_01	NC_083547.1	6703395	6711725	8331	300	7.5
RG	Danaus_plexippus_MI_2000_01	NC_083547.1	9117145	9121518	4374	178	13.1
RG	Danaus_plexippus_MI_2000_02	NC_083547.1	6285221	6294482	9262	264	55.5
RG	Danaus_plexippus_MI_2000_02	NC_083547.1	7103837	7107074	3238	168	19.8
RG	Danaus_plexippus_MI_2000_02	NC_083547.1	9335953	9348774	12822	403	34.9
RG	Danaus_plexippus_MI_2000_03	NC_083547.1	329503	340669	11167	306	54.3
RG	Danaus_plexippus_MN_1996_03	NC_083547.1	5287462	5299459	11998	342	18.7
RG	Danaus_plexippus_MN_1996_03	NC_083547.1	5675301	5681714	6414	237	27.3
RG	Danaus_plexippus_MN_1996_04	NC_083547.1	253549	264963	11415	243	18.0
RG	Danaus_plexippus_MN_1996_04	NC_083547.1	7239359	7247473	8115	216	40.0
RG	Danaus_plexippus_NE_2024_03	NC_083547.1	1492680	1501449	8770	232	8.0
RG	Danaus_plexippus_NE_2024_03	NC_083547.1	7505590	7520196	14607	451	76.4
RG	Danaus_plexippus_NE_2024_03	NC_083547.1	9190232	9197725	7494	320	30.9
RG	Danaus_plexippus_NE_2024_04	NC_083547.1	7605	39701	32097	677	83.1
RG	Danaus_plexippus_NE_2024_04	NC_083547.1	9599082	9627293	28212	343	28.5
RG	Danaus_plexippus_NE_2024_06	NC_083547.1	9511322	9595843	84522	2231	66.3
RG	Danaus_plexippus_NE_2024_07	NC_083547.1	1060768	1077056	16289	426	79.5
RG	Danaus_plexippus_NE_2024_08	NC_083547.1	1767611	1774814	7204	256	6.6
RG	Danaus_plexippus_NE_2024_08	NC_083547.1	5568132	5584937	16806	372	50.0
RG	Danaus_plexippus_NE_2024_10	NC_083547.1	1848618	1861139	12522	295	17.7
RG	Danaus_plexippus_NE_2024_10	NC_083547.1	6990101	7061499	71399	2912	93.9
RG	Danaus_plexippus_NE_2024_11	NC_083547.1	1897747	1907826	10080	305	55.2
RG	Danaus_plexippus_NE_2024_11	NC_083547.1	1929090	1942662	13573	468	78.9
RG	Danaus_plexippus_NE_2024_11	NC_083547.1	2729983	2756859	26877	728	81.3
RG	Danaus_plexippus_NE_2024_12	NC_083547.1	1678022	1683894	5873	201	22.0
RG	Danaus_plexippus_NE_2024_12	NC_083547.1	4526520	4535439	8920	222	35.5
